<<<<<<< HEAD
=======
Unix Timestamp,Human Readable Timestamp,Label
1692609311.85,2023-08-21 11:15:11,Rest
1692609322.02,2023-08-21 11:15:22.020,0
1692609322.12,2023-08-21 11:15:22.120,Rest
1692609322.22,2023-08-21 11:15:22.220,Rest
1692609322.31,2023-08-21 11:15:22.310,Rest
1692609322.40,2023-08-21 11:15:22.400,Rest
1692609322.50,2023-08-21 11:15:22.500,Rest
1692609322.59,2023-08-21 11:15:22.590,Rest
1692609322.68,2023-08-21 11:15:22.680,Rest
1692609322.77,2023-08-21 11:15:22.770,Rest
1692609322.86,2023-08-21 11:15:22.860,Rest
1692609322.95,2023-08-21 11:15:22.950,Rest
1692609323.04,2023-08-21 11:15:23.040,Rest
1692609323.13,2023-08-21 11:15:23.130,Rest
1692609323.23,2023-08-21 11:15:23.230,Rest
1692609323.32,2023-08-21 11:15:23.320,Rest
1692609323.41,2023-08-21 11:15:23.410,Rest
1692609323.50,2023-08-21 11:15:23.500,Rest
1692609323.59,2023-08-21 11:15:23.590,Rest
1692609323.68,2023-08-21 11:15:23.680,Rest
1692609323.77,2023-08-21 11:15:23.770,Rest
1692609323.86,2023-08-21 11:15:23.860,Rest
1692609323.95,2023-08-21 11:15:23.950,Rest
1692609324.04,2023-08-21 11:15:24.040,Rest
1692609324.14,2023-08-21 11:15:24.140,Rest
1692609324.23,2023-08-21 11:15:24.230,Rest
1692609324.32,2023-08-21 11:15:24.320,Rest
1692609324.41,2023-08-21 11:15:24.410,Rest
1692609324.50,2023-08-21 11:15:24.500,Rest
1692609324.59,2023-08-21 11:15:24.590,Rest
1692609324.68,2023-08-21 11:15:24.680,Rest
1692609324.77,2023-08-21 11:15:24.770,Rest
1692609324.86,2023-08-21 11:15:24.860,Rest
1692609324.95,2023-08-21 11:15:24.950,Rest
1692609325.04,2023-08-21 11:15:25.040,Rest
1692609325.14,2023-08-21 11:15:25.140,Rest
1692609325.23,2023-08-21 11:15:25.230,Rest
1692609325.32,2023-08-21 11:15:25.320,Rest
1692609325.43,2023-08-21 11:15:25.430,Rest
1692609325.52,2023-08-21 11:15:25.520,Rest
1692609325.61,2023-08-21 11:15:25.610,Rest
1692609325.71,2023-08-21 11:15:25.710,Rest
1692609325.80,2023-08-21 11:15:25.800,Rest
1692609325.89,2023-08-21 11:15:25.890,Rest
1692609325.99,2023-08-21 11:15:25.990,Rest
1692609326.08,2023-08-21 11:15:26.080,Rest
1692609326.17,2023-08-21 11:15:26.170,Rest
1692609326.26,2023-08-21 11:15:26.260,Rest
1692609326.35,2023-08-21 11:15:26.350,Rest
1692609326.44,2023-08-21 11:15:26.440,Rest
1692609326.53,2023-08-21 11:15:26.530,Rest
1692609326.63,2023-08-21 11:15:26.630,Rest
1692609326.72,2023-08-21 11:15:26.720,Rest
1692609326.81,2023-08-21 11:15:26.810,Rest
1692609326.90,2023-08-21 11:15:26.900,Rest
1692609326.99,2023-08-21 11:15:26.990,Rest
1692609327.08,2023-08-21 11:15:27.080,Rest
1692609327.17,2023-08-21 11:15:27.170,Rest
1692609327.28,2023-08-21 11:15:27.280,Rest
1692609327.37,2023-08-21 11:15:27.370,Rest
1692609327.46,2023-08-21 11:15:27.460,Rest
1692609327.63,2023-08-21 11:15:27.630,Rest
1692609327.77,2023-08-21 11:15:27.770,Rest
1692609327.89,2023-08-21 11:15:27.890,Rest
1692609327.99,2023-08-21 11:15:27.990,Rest
1692609328.08,2023-08-21 11:15:28.080,Rest
1692609328.18,2023-08-21 11:15:28.180,Rest
1692609328.27,2023-08-21 11:15:28.270,Rest
1692609328.36,2023-08-21 11:15:28.360,Rest
1692609328.45,2023-08-21 11:15:28.450,Rest
1692609328.54,2023-08-21 11:15:28.540,Rest
1692609328.64,2023-08-21 11:15:28.640,Rest
1692609328.73,2023-08-21 11:15:28.730,Rest
1692609329.17,2023-08-21 11:15:29.170,Rest
1692609329.26,2023-08-21 11:15:29.260,Rest
1692609329.35,2023-08-21 11:15:29.350,Rest
