COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
3,0,-8.657,-11.624,-12.109,-13.788,-14.409,-17.142,-20.03,-10.964,-16.343,-16.343,-10.12,-8.77,-10.12,-8.77,-14.66,5.391,-14.66,-9.31,-17.199,-16.947,-11.099,-9.31,-10.126,-15.04,-16.947,-10.652,-14.881,-10.126,-13.746,-21.082,-26.013,-18.812,0.0,0.0,0.0,0,1688144466.4248,2023-06-30 19:01:06,Rest
4,0,-6.599,-5.465,-12.609,-13.262,-11.833,-14.051,-15.912,-11.978,-17.351,-17.351,-10.11,-7.225,-10.11,-7.225,-12.596,9.484,-12.596,-6.739,-13.083,-7.196,-5.453,-6.739,-6.018,-10.926,-7.196,-7.568,-7.694,-6.018,-9.633,-12.351,-19.326,-18.793,0.0,0.0,0.0,0,1688144466.4326,2023-06-30 19:01:06,Rest
5,0,-2.494,-4.434,-4.912,-12.736,-10.284,-8.914,-11.285,-5.306,-11.699,-11.699,-5.489,-7.217,-5.489,-7.217,-7.46,14.085,-7.46,-3.658,-7.947,-2.066,-2.886,-3.658,-1.401,-5.792,-2.066,-2.437,-1.026,-1.401,-2.964,-10.802,-12.135,-12.626,0.0,0.0,0.0,0,1688144466.4404,2023-06-30 19:01:06,Rest
6,0,-10.176,-11.602,-13.616,-16.822,-17.446,-15.053,-16.909,-14.522,-19.884,-19.884,-10.607,-15.407,-10.607,-15.407,-14.625,5.874,-14.625,-10.314,-15.111,-12.31,-12.617,-10.314,-9.596,-13.983,-12.31,-11.656,-15.37,-9.596,-12.182,-22.574,-23.393,-20.811,0.0,0.0,0.0,0,1688144466.4482,2023-06-30 19:01:06,Rest
7,0,-16.314,-14.665,-22.312,-20.391,-22.039,-20.673,-21.503,-21.68,-29.086,-29.086,-15.207,-17.441,-15.207,-17.441,-20.246,3.307,-20.246,-14.915,-17.658,-14.347,-16.702,-14.915,-15.734,-18.58,-14.347,-14.719,-24.064,-15.734,-16.781,-25.113,-30.542,-28.475,0.0,0.0,0.0,0,1688144466.456,2023-06-30 19:01:06,Rest
8,0,-4.002,-4.404,-4.871,-11.661,-10.746,-10.919,-12.26,-5.777,-16.761,-16.761,-3.921,-6.153,-3.921,-6.153,-6.393,14.062,-6.393,-1.068,-6.369,-1.525,-1.829,-1.068,-0.862,-5.754,-1.525,0.153,-5.597,-0.862,-3.444,-9.207,-14.63,-13.589,0.0,0.0,0.0,0,1688144466.4638,2023-06-30 19:01:06,Rest
9,0,10.347,8.921,8.454,-0.891,1.56,1.388,-0.977,2.938,-3.937,-3.937,6.329,3.587,6.329,3.587,5.396,22.245,5.396,13.79,1.322,9.235,10.468,13.79,13.484,6.035,9.235,11.424,8.241,13.484,6.805,4.635,-2.32,0.769,0.0,0.0,0.0,0,1688144466.4716,2023-06-30 19:01:06,Rest
10,0,12.898,12.498,3.835,0.134,2.07,2.923,1.073,-0.139,-5.47,-5.47,7.86,6.658,7.86,6.658,5.903,24.784,5.903,14.801,4.394,10.763,11.483,14.801,10.909,8.078,10.763,18.072,2.598,10.909,9.872,6.679,-6.416,-0.769,0.0,0.0,0.0,0,1688144466.4794,2023-06-30 19:01:06,Rest
11,0,20.57,17.096,12.028,6.282,4.63,5.994,6.195,9.595,0.171,0.171,16.561,12.286,16.561,12.286,16.144,29.882,16.144,20.934,15.148,13.826,18.131,20.934,16.533,15.755,13.826,32.399,8.743,16.533,20.109,15.894,-2.312,6.917,0.0,0.0,0.0,0,1688144466.4873,2023-06-30 19:01:06,Rest
12,0,27.721,25.788,23.799,16.522,9.748,14.185,13.874,17.783,9.393,9.393,26.278,17.909,26.278,17.909,24.837,34.463,24.837,29.11,19.744,18.935,26.31,29.11,27.787,23.936,18.935,36.465,22.566,27.787,26.236,26.637,6.912,17.668,0.0,0.0,0.0,0,1688144466.4951,2023-06-30 19:01:06,Rest
