COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
59,0,1.772,7.292,1.161,3.012,0.077,0.423,3.963,0.362,-0.611,-0.611,1.774,4.531,1.774,4.531,-1.491,7.539,-1.491,0.524,3.11,3.403,1.776,0.524,4.291,1.011,3.403,1.689,-2.458,4.291,4.929,-19.907,8.597,3.346,4096.0,0.0,0.0,0,1688145441.8623,2023-06-30 19:17:21,Rest
60,0,1.258,5.236,2.696,7.108,2.639,-2.651,0.373,-0.15,2.975,2.975,2.284,5.551,2.284,5.551,-2.002,5.482,-2.002,0.011,2.082,1.863,2.798,0.011,2.75,0.498,1.863,4.248,-1.431,2.75,3.387,-18.35,7.563,1.806,4096.0,0.0,0.0,0,1688145441.8701,2023-06-30 19:17:21,Rest
61,0,-1.817,0.108,-0.892,0.953,1.099,-5.722,-3.214,-0.15,-1.638,-1.638,-2.841,-0.09,-2.841,-0.09,-3.536,0.353,-3.536,-4.088,-1.506,-2.238,-3.864,-4.088,-0.327,-4.625,-2.238,-0.879,-6.553,-0.327,-2.251,-21.918,-1.153,-3.319,4096.0,0.0,0.0,0,1688145441.8779,2023-06-30 19:17:21,Rest
62,0,-8.987,-6.553,-10.113,-8.27,-7.611,-11.352,-10.383,-9.372,-7.272,-7.272,-7.961,-6.237,-7.961,-6.237,-11.218,-8.868,-11.218,-10.231,-9.701,-8.896,-14.107,-10.231,-11.085,-12.305,-8.896,-10.1,-18.329,-11.085,-9.421,-33.167,-9.349,-9.463,4096.0,0.0,0.0,0,1688145441.8857,2023-06-30 19:17:21,Rest
63,0,-13.589,-13.718,-15.738,-10.823,-12.214,-16.976,-14.983,-16.534,-6.24,-6.24,-12.052,-6.743,-12.052,-6.743,-15.305,-13.47,-15.305,-17.393,-16.864,-18.108,-19.216,-17.393,-18.246,-16.904,-18.108,-10.602,-21.385,-18.246,-13.51,-35.695,-13.438,-16.114,3968.0,0.0,0.0,0,1688145441.8935,2023-06-30 19:17:21,Rest
64,0,-10.502,-12.168,-12.136,-9.787,-11.178,-15.422,-12.919,-11.395,-10.333,-10.333,-14.601,-9.811,-14.601,-9.811,-12.728,-13.457,-12.728,-19.937,-17.872,-18.09,-17.659,-19.937,-12.592,-14.838,-18.09,-9.567,-16.24,-12.592,-12.985,-31.561,-11.376,-16.098,0.0,0.0,0.0,0,1688145441.9013,2023-06-30 19:17:21,Rest
65,0,-6.905,-6.008,-10.587,-6.192,-8.093,-13.357,-10.345,-9.334,-12.371,-12.371,-14.074,-12.362,-14.074,-12.362,-14.252,-11.906,-14.252,-15.819,-16.317,-9.363,-15.593,-15.819,-8.481,-13.798,-9.363,-10.069,-15.712,-8.481,-11.435,-34.603,-6.753,-11.983,0.0,0.0,0.0,0,1688145441.9091,2023-06-30 19:17:21,Rest
66,0,-10.997,-10.1,-15.188,-6.698,-9.109,-14.881,-11.359,-13.423,-7.236,-7.236,-13.036,-8.764,-13.036,-8.764,-16.799,-7.284,-16.799,-16.828,-15.788,-13.452,-18.139,-16.828,-14.108,-16.858,-13.452,-7.498,-19.795,-14.108,-11.423,-33.544,-8.284,-15.045,0.0,0.0,0.0,0,1688145441.9169,2023-06-30 19:17:21,Rest
67,0,-10.473,-11.115,-13.635,-8.74,-9.1,-11.792,-11.348,-11.361,-5.692,-5.692,-10.973,-4.144,-10.973,-4.144,-11.147,-3.69,-11.147,-16.811,-13.211,-17.537,-17.096,-16.811,-13.582,-13.255,-17.537,-5.953,-15.164,-13.582,-8.338,-23.777,-9.3,-13.493,0.0,0.0,0.0,0,1688145441.9248,2023-06-30 19:17:21,Rest
68,0,-0.729,1.192,-3.376,-0.022,-1.919,-5.633,-5.701,-3.665,-3.637,-3.637,-3.79,0.983,-3.79,0.983,-2.939,-0.101,-2.939,-7.573,-6.538,-5.736,-6.833,-7.573,-2.297,-2.484,-5.736,-2.874,-4.39,-2.297,-0.133,-18.118,-1.094,0.865,0.0,0.0,0.0,0,1688145441.9326,2023-06-30 19:17:21,Rest
