<<<<<<< HEAD
1696432354.14: left
1696432354.24: left
1696432354.33: left
1696432354.42: left
1696432354.51: left
1696432354.61: left
1696432354.70: left
1696432354.79: left
1696432354.89: left
1696432354.98: left
1696432355.07: left
1696432355.16: left
1696432355.25: left
1696432355.34: left
1696432355.44: left
1696432355.53: left
1696432355.62: left
1696432355.71: left
1696432355.80: left
1696432355.89: left
1696432355.99: left
1696432356.08: left
1696432356.17: left
1696432356.27: left
1696432356.36: left
1696432356.45: left
1696432356.54: left
1696432356.64: left
1696432356.73: left
1696432356.82: left
1696432356.92: left
1696432357.01: left
1696432357.10: left
1696432357.19: left
1696432357.28: left
1696432357.37: left
1696432357.46: left
1696432357.56: left
1696432357.66: left
1696432357.75: left
1696432357.84: left
1696432357.93: left
1696432358.03: left
1696432358.12: left
1696432358.21: left
1696432358.30: left
1696432358.39: left
1696432358.49: left
1696432358.58: left
1696432358.68: left
1696432358.77: left
1696432358.87: left
1696432358.96: left
1696432359.05: left
1696432359.15: left
1696432359.24: left
1696432359.33: left
1696432359.43: left
1696432359.52: left
1696432359.61: left
1696432359.71: left
1696432359.80: left
1696432359.89: left
1696432359.99: left
1696432360.08: left
1696432360.20: left
1696432360.31: left
1696432360.40: left
1696432360.49: left
1696432360.58: left
1696432360.67: left
1696432360.77: left
1696432360.86: left
1696432360.95: left
1696432361.04: left
1696432361.14: left
1696432361.23: left
1696432361.32: left
1696432361.41: left
1696432361.50: left
1696432361.59: left
1696432361.68: left
1696432361.78: left
1696432361.87: left
1696432361.97: left
1696432362.06: left
1696432362.15: left
1696432362.24: left
1696432362.33: left
1696432362.42: left
1696432362.51: left
1696432362.60: left
1696432362.70: left
1696432362.79: left
1696432362.88: left
1696432362.97: left
1696432363.06: left
1696432363.16: left
1696432363.25: left
1696432363.34: left
1696432363.43: left
1696432363.52: left
1696432363.62: left
1696432363.71: left
1696432363.81: left
1696432363.90: left
1696432363.99: left
1696432364.09: left
1696432364.18: left
1696432364.28: left
1696432364.37: left
1696432364.47: left
1696432364.56: left
1696432364.65: left
1696432364.75: left
1696432364.84: left
1696432364.93: left
1696432365.02: left
1696432365.12: left
1696432365.21: left
1696432365.30: left
1696432365.40: left
1696432365.49: left
1696432365.58: left
1696432365.68: left
1696432365.77: left
1696432365.87: left
1696432365.96: left
1696432366.05: left
1696432366.15: left
1696432366.24: left
1696432366.33: left
1696432366.42: left
1696432366.52: left
1696432366.61: left
1696432366.70: left
1696432366.79: left
1696432366.89: left
1696432366.98: left
1696432367.07: left
1696432367.17: left
1696432367.26: left
1696432367.36: left
1696432367.45: left
1696432367.55: left
1696432367.64: left
1696432367.73: left
1696432367.83: left
1696432367.92: left
1696432368.01: left
1696432368.10: left
1696432374.20: right
=======
1692609322.02: left
1692609322.13: left
1692609322.22: left
1692609322.32: left
1692609322.41: left
1692609322.50: left
1692609322.59: left
1692609322.68: left
1692609322.77: left
1692609322.87: left
1692609322.96: left
1692609323.05: left
1692609323.14: left
1692609323.23: left
1692609323.32: left
1692609323.41: left
1692609323.50: left
1692609323.59: left
1692609323.69: left
1692609323.78: left
1692609323.87: left
1692609323.96: left
1692609324.05: left
1692609324.14: left
1692609324.23: left
1692609324.32: left
1692609324.41: left
1692609324.51: left
1692609324.60: left
1692609324.69: left
1692609324.78: left
1692609324.87: left
1692609324.96: left
1692609325.05: left
1692609325.14: left
1692609325.23: left
1692609325.32: left
1692609325.43: left
1692609325.52: left
1692609325.62: left
1692609325.71: left
1692609325.81: left
1692609325.90: left
1692609325.99: left
1692609326.08: left
1692609326.17: left
1692609326.27: left
1692609326.36: left
1692609326.45: left
1692609326.54: left
1692609326.63: left
1692609326.72: left
1692609326.81: left
1692609326.90: left
1692609327.00: left
1692609327.09: left
1692609327.18: left
1692609327.28: left
1692609327.37: left
1692609327.47: left
1692609327.64: left
1692609327.78: left
1692609327.90: left
1692609328.00: left
1692609328.09: left
1692609328.18: left
1692609328.28: left
1692609328.37: left
1692609328.46: left
1692609328.55: left
1692609328.64: left
1692609328.73: left
1692609329.17: left
1692609329.26: left
1692609329.35: left
1692609329.44: left
1692609329.53: left
1692609329.62: left
1692609329.71: left
1692609329.80: left
1692609329.90: left
1692609329.99: left
1692609330.08: left
1692609330.17: left
1692609330.26: left
1692609330.35: left
1692609330.44: left
1692609330.55: left
1692609330.65: left
1692609330.74: left
1692609330.83: left
1692609330.93: left
1692609331.13: left
1692609331.24: left
1692609331.35: left
1692609331.45: left
1692609331.55: left
1692609331.64: left
1692609331.74: left
1692609331.84: left
1692609331.95: left
1692609332.05: left
1692609332.14: left
1692609332.23: left
1692609332.32: left
1692609332.42: left
1692609332.51: left
1692609332.60: left
1692609332.69: left
1692609332.78: left
1692609332.87: left
1692609332.96: left
1692609333.05: left
1692609333.15: left
1692609333.24: left
1692609333.35: left
1692609333.44: left
1692609333.53: left
1692609333.62: left
1692609333.71: left
1692609333.81: left
1692609333.90: left
1692609333.99: left
1692609334.08: left
1692609334.17: left
1692609334.26: left
1692609334.37: left
1692609334.47: left
1692609334.68: left
1692609334.81: left
1692609334.91: left
1692609335.02: left
1692609335.11: left
1692609335.21: left
1692609335.31: left
1692609335.41: left
1692609335.50: left
1692609335.59: left
1692609335.69: left
1692609335.79: left
1692609335.88: left
1692609335.97: left
1692609342.06: right
1692609342.15: right
1692609342.23: right
1692609342.31: right
1692609342.38: right
1692609342.46: right
1692609342.54: right
1692609342.62: right
1692609342.70: right
1692609342.77: right
1692609342.85: right
1692609342.93: right
1692609343.01: right
1692609343.09: right
1692609343.17: right
1692609343.25: right
1692609343.33: right
1692609343.41: right
1692609343.49: right
1692609343.56: right
1692609343.65: right
1692609343.72: right
1692609343.80: right
1692609343.87: right
1692609343.95: right
1692609344.11: right
1692609344.20: right
1692609344.29: right
1692609344.38: right
1692609344.46: right
1692609344.54: right
1692609344.62: right
1692609344.70: right
1692609344.79: right
1692609344.87: right
1692609344.94: right
1692609345.02: right
1692609345.10: right
1692609345.17: right
1692609345.25: right
1692609345.33: right
1692609345.41: right
1692609345.49: right
1692609345.56: right
1692609345.64: right
1692609345.72: right
1692609345.79: right
1692609345.87: right
1692609345.95: right
1692609346.02: right
1692609346.10: right
1692609346.18: right
1692609346.25: right
1692609346.33: right
1692609346.41: right
1692609346.50: right
1692609346.58: right
1692609346.67: right
1692609346.76: right
1692609346.84: right
1692609346.92: right
1692609346.99: right
1692609347.07: right
1692609347.15: right
1692609347.23: right
1692609347.30: right
1692609347.38: right
1692609347.46: right
1692609347.53: right
1692609347.61: right
1692609347.69: right
1692609347.76: right
1692609347.84: right
1692609347.92: right
1692609347.99: right
1692609348.07: right
1692609348.15: right
1692609348.23: right
1692609348.30: right
1692609348.38: right
1692609348.46: right
1692609348.54: right
1692609348.62: right
1692609348.70: right
1692609348.77: right
1692609348.85: right
1692609348.93: right
1692609349.01: right
1692609349.09: right
1692609349.18: right
1692609349.26: right
1692609349.34: right
1692609349.42: right
1692609349.49: right
1692609349.57: right
1692609349.65: right
1692609349.73: right
1692609349.80: right
1692609349.88: right
1692609349.96: right
1692609350.04: right
1692609350.12: right
1692609350.20: right
1692609350.27: right
1692609350.35: right
1692609350.43: right
1692609350.50: right
1692609350.58: right
1692609350.66: right
1692609350.73: right
1692609350.81: right
1692609350.89: right
1692609350.96: right
1692609351.04: right
1692609351.12: right
1692609351.30: right
1692609351.47: right
1692609351.60: right
1692609351.71: right
1692609351.79: right
1692609351.86: right
1692609351.94: right
1692609352.02: right
1692609352.10: right
1692609352.18: right
1692609352.25: right
1692609352.33: right
1692609352.41: right
1692609352.48: right
1692609352.56: right
1692609352.64: right
1692609352.72: right
1692609352.79: right
1692609352.87: right
1692609352.95: right
1692609353.02: right
1692609353.10: right
1692609353.18: right
1692609353.25: right
1692609353.33: right
1692609353.41: right
1692609353.48: right
1692609353.56: right
1692609353.64: right
1692609353.71: right
1692609353.79: right
1692609353.87: right
1692609353.94: right
1692609354.02: right
1692609354.10: right
1692609354.17: right
1692609354.25: right
1692609354.33: right
1692609354.41: right
1692609354.48: right
1692609354.56: right
1692609354.64: right
1692609354.71: right
1692609354.79: right
1692609354.87: right
1692609354.94: right
1692609355.02: right
1692609355.10: right
1692609355.17: right
1692609355.25: right
1692609355.33: right
1692609355.40: right
1692609355.48: right
1692609355.56: right
1692609355.63: right
1692609355.71: right
1692609355.79: right
1692609355.87: right
1692609355.94: right
1692609356.02: right
1692609362.10: stop
1692609362.21: stop
1692609362.32: stop
1692609362.43: stop
1692609362.54: stop
1692609362.65: stop
1692609362.76: stop
1692609362.88: stop
1692609362.99: stop
1692609363.10: stop
1692609363.21: stop
1692609363.32: stop
1692609363.43: stop
1692609363.55: stop
1692609363.66: stop
1692609363.77: stop
1692609363.88: stop
1692609363.99: stop
1692609364.19: stop
1692609364.34: stop
1692609364.46: stop
1692609364.58: stop
1692609364.69: stop
1692609364.80: stop
1692609364.91: stop
1692609365.03: stop
1692609365.14: stop
1692609365.25: stop
1692609365.36: stop
1692609365.47: stop
1692609365.58: stop
1692609365.70: stop
1692609365.81: stop
1692609365.92: stop
1692609366.03: stop
1692609366.14: stop
1692609366.25: stop
1692609366.36: stop
1692609366.47: stop
1692609366.58: stop
1692609366.69: stop
1692609366.80: stop
1692609366.91: stop
1692609367.03: stop
1692609367.16: stop
1692609367.27: stop
1692609367.38: stop
1692609367.49: stop
1692609367.61: stop
1692609367.75: stop
1692609367.86: stop
1692609367.97: stop
1692609368.08: stop
1692609368.24: stop
1692609368.37: stop
1692609368.51: stop
1692609368.63: stop
1692609368.74: stop
1692609368.85: stop
1692609369.03: stop
1692609369.15: stop
1692609369.26: stop
1692609369.37: stop
1692609369.49: stop
1692609369.60: stop
1692609369.71: stop
1692609369.82: stop
1692609369.93: stop
1692609370.04: stop
1692609370.16: stop
1692609370.27: stop
1692609370.38: stop
1692609370.49: stop
1692609370.60: stop
1692609370.71: stop
1692609370.82: stop
1692609370.93: stop
1692609371.04: stop
1692609371.15: stop
1692609371.26: stop
1692609371.37: stop
1692609371.49: stop
1692609371.60: stop
1692609371.71: stop
1692609371.82: stop
1692609371.93: stop
1692609372.04: stop
1692609372.15: stop
1692609372.27: stop
1692609372.38: stop
1692609372.49: stop
1692609372.60: stop
1692609372.71: stop
1692609372.82: stop
1692609372.93: stop
1692609373.04: stop
1692609373.16: stop
1692609373.27: stop
1692609373.38: stop
1692609373.49: stop
1692609373.60: stop
1692609373.72: stop
1692609373.83: stop
1692609373.94: stop
1692609374.06: stop
1692609374.17: stop
1692609374.28: stop
1692609374.39: stop
1692609374.50: stop
1692609374.61: stop
1692609374.72: stop
1692609374.83: stop
1692609374.94: stop
1692609375.06: stop
1692609375.17: stop
1692609375.28: stop
1692609375.39: stop
1692609375.50: stop
1692609375.61: stop
1692609375.72: stop
1692609375.83: stop
1692609375.94: stop
1692609376.05: stop
1692609382.17: left
1692609382.26: left
1692609382.35: left
1692609382.44: left
1692609382.53: left
1692609382.62: left
1692609382.71: left
1692609382.80: left
1692609382.89: left
1692609382.98: left
1692609383.07: left
1692609383.16: left
1692609383.25: left
1692609383.35: left
1692609383.44: left
1692609383.53: left
1692609383.62: left
1692609383.71: left
1692609383.80: left
1692609383.89: left
1692609383.98: left
1692609384.07: left
1692609384.16: left
1692609384.25: left
1692609384.34: left
1692609384.43: left
1692609384.52: left
1692609384.62: left
1692609384.71: left
1692609384.80: left
1692609384.89: left
1692609384.98: left
1692609385.07: left
1692609385.16: left
1692609385.25: left
1692609385.34: left
1692609385.43: left
1692609385.52: left
1692609385.62: left
1692609385.71: left
1692609385.80: left
1692609385.89: left
1692609385.98: left
1692609386.07: left
1692609386.16: left
1692609386.25: left
1692609386.34: left
1692609386.43: left
1692609386.52: left
1692609386.62: left
1692609386.71: left
1692609386.80: left
1692609386.89: left
1692609386.98: left
1692609387.07: left
1692609387.16: left
1692609387.26: left
1692609387.35: left
1692609387.44: left
1692609387.53: left
1692609387.62: left
1692609387.71: left
1692609387.80: left
1692609387.89: left
1692609387.98: left
1692609388.07: left
1692609388.16: left
1692609388.25: left
1692609388.35: left
1692609388.44: left
1692609388.53: left
1692609388.62: left
1692609388.71: left
1692609388.80: left
1692609388.89: left
1692609388.98: left
1692609389.07: left
1692609389.16: left
1692609389.25: left
1692609389.34: left
1692609389.43: left
1692609389.52: left
1692609389.61: left
1692609389.70: left
1692609389.80: left
1692609389.89: left
1692609389.98: left
1692609390.07: left
1692609390.16: left
1692609390.26: left
1692609390.35: left
1692609390.44: left
1692609390.53: left
1692609390.62: left
1692609390.71: left
1692609390.80: left
1692609390.89: left
1692609390.98: left
1692609391.10: left
1692609391.19: left
1692609391.28: left
1692609391.37: left
1692609391.47: left
1692609391.56: left
1692609391.65: left
1692609391.74: left
1692609391.83: left
1692609391.92: left
1692609392.01: left
1692609392.10: left
1692609392.19: left
1692609392.28: left
1692609392.38: left
1692609392.47: left
1692609392.56: left
1692609392.65: left
1692609392.74: left
1692609392.83: left
1692609392.92: left
1692609393.01: left
1692609393.10: left
1692609393.19: left
1692609393.29: left
1692609393.38: left
1692609393.47: left
1692609393.64: left
1692609393.73: left
1692609393.82: left
1692609393.92: left
>>>>>>> ea111812f7bf39dc2ddcc5894254a1d54e477358
