COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
7,0,-19.856,-15.122,-233.614,-18.31,-6.258,-10.681,-8.834,-11.513,-10.474,-1.28,-6.29,-10.686,-9.767,0.564,-3.566,10.514,-11.986,-27.785,-18.813,-9.496,-16.747,-13.13,-11.046,-19.319,-8.126,-9.204,-9.982,-13.452,-18.791,-8.777,-25.295,-112.476,0.0,0.0,226.0,0,1690553915.0038,2023-07-28 16:18:35,Rest
8,0,-15.225,-6.397,-227.233,-19.316,-0.104,-4.01,-1.653,-8.428,-3.291,-0.767,-3.723,-11.188,-9.245,4.662,-5.611,14.602,-7.363,-10.339,-11.622,-4.875,-9.558,-10.555,-7.449,-14.689,-1.97,-6.121,-3.312,-8.828,-11.6,-3.645,-18.609,-103.654,0.0,0.0,216.0,0,1690553915.0117,2023-07-28 16:18:35,Rest
9,0,-13.673,-3.829,-228.543,-20.834,0.921,-3.494,0.91,-17.129,-5.337,-2.815,-5.256,-9.64,-7.187,6.194,-4.581,12.026,-8.381,0.43,-3.926,-6.408,-8.524,-8.496,-8.979,-14.674,3.667,-2.529,-8.944,-5.745,-9.539,-3.129,-12.955,-102.526,0.0,0.0,220.0,0,1690553915.0195,2023-07-28 16:18:35,Rest
10,0,-12.122,-5.363,-228.314,-14.665,-1.642,-6.564,-1.652,-22.747,-7.893,-3.325,-10.374,-10.142,-3.593,4.651,-7.138,10.989,-8.884,-3.669,-9.045,-7.426,-13.639,-7.975,-9.482,-14.659,-2.997,-2.526,-11.496,-6.764,-12.091,-4.663,-12.43,-102.423,0.0,0.0,188.0,0,1690553915.0274,2023-07-28 16:18:35,Rest
11,0,-6.987,-2.796,-222.45,-13.626,1.434,-3.996,-1.138,-13.503,-3.275,-4.346,-9.339,-9.62,-5.127,3.11,-9.693,13.027,-6.314,-8.788,-8.524,-4.857,-10.551,-5.918,-7.423,-14.645,-2.994,-3.036,-4.825,-5.732,-8.493,-3.634,-15.492,-98.222,0.0,0.0,212.0,0,1690553915.0352,2023-07-28 16:18:35,Rest
12,0,-2.882,-0.231,-218.129,-16.174,8.604,1.131,-1.137,-7.341,2.364,-1.78,-4.206,-5.512,-3.072,6.18,-4.047,13.014,-2.209,-1.607,0.706,-1.778,-3.881,-1.813,-2.293,-10.019,6.231,4.652,-0.209,-0.604,-4.386,2.518,-11.378,-93.513,0.0,0.0,215.0,0,1690553915.0431,2023-07-28 16:18:35,Rest
13,0,-3.903,0.281,-216.374,-8.985,12.182,4.716,3.475,-5.285,4.923,4.882,-3.177,-1.408,4.615,11.809,2.104,16.075,1.891,5.567,0.193,2.834,-1.828,1.262,1.296,-0.275,6.737,13.869,1.84,1.446,-3.357,6.101,-3.169,-89.321,0.0,0.0,148.0,0,1690553915.051,2023-07-28 16:18:35,Rest
14,0,-5.949,-0.231,-215.133,-4.878,9.096,4.199,9.107,-1.181,4.406,3.852,-2.15,-1.406,4.098,11.798,0.565,18.621,2.914,1.975,-1.344,4.881,-0.801,1.773,0.27,-0.787,5.193,13.855,6.449,1.957,-0.792,4.558,-0.092,-86.67,0.0,0.0,204.0,0,1690553915.0587,2023-07-28 16:18:35,Rest
15,0,-5.43,-0.743,-211.844,-8.459,4.988,1.634,2.95,-6.815,2.352,0.262,-0.098,-2.43,2.045,6.15,1.077,14.504,1.887,-0.589,0.195,1.802,-1.313,1.259,-0.243,-6.934,11.336,11.792,6.443,4.004,0.746,3.017,0.932,-85.047,0.0,0.0,219.0,0,1690553915.0665,2023-07-28 16:18:35,Rest
16,0,-7.986,0.282,-203.948,-4.865,4.983,5.218,-2.176,-12.956,5.936,4.36,-3.684,-3.964,7.678,6.144,2.1,11.415,2.909,1.973,0.194,1.288,0.226,0.234,3.344,-1.804,12.862,12.804,5.924,5.025,2.282,3.014,4.518,-76.765,0.0,0.0,185.0,0,1690553915.0742,2023-07-28 16:18:35,Rest
17,0,-9.003,9.503,-185.813,3.337,13.688,13.41,5.511,-6.283,10.029,7.43,-4.705,-4.473,15.355,13.823,-2.0,17.039,8.542,6.07,5.317,5.898,6.373,4.332,10.513,5.882,8.238,13.304,12.066,9.118,11.501,11.208,6.562,-55.684,0.0,0.0,225.0,0,1690553915.0821,2023-07-28 16:18:35,Rest
