COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
87,0,96.134,40.091,-24.61,44.676,23.414,22.307,-729.781,-289.516,-36.196,-186.797,-51.454,53.968,-6.361,-153.701,-225.524,-122.911,1000.693,-61.179,32.343,-204.911,-270.218,19.199,-0.773,-185.1,-211.54,-2581.96,-249.204,51.909,-9.908,-65.934,-297.77,-136.719,0.0,65536.0,215.0,0,1688564272.8603,2023-07-05 15:37:52,Rest
88,0,97.575,39.026,-24.586,42.582,25.952,21.26,-732.125,-287.69,-40.77,-192.246,-46.279,55.451,-2.768,-152.522,-232.471,-125.862,1008.914,-61.63,31.798,-203.169,-271.485,19.692,1.277,-189.526,-220.038,-2580.403,-250.492,52.369,-4.775,-68.43,-307.206,-144.779,0.0,0.0,207.0,0,1688564272.8682,2023-07-05 15:37:52,Rest
89,0,96.453,36.426,-25.586,38.441,28.488,14.578,-763.668,-297.136,-44.315,-203.324,-55.455,55.396,-15.061,-163.128,-232.75,-114.465,1040.693,-75.4,27.668,-213.724,-296.316,10.963,-1.286,-200.095,-248.507,-2582.946,-266.123,40.534,-10.918,-67.849,-316.12,-148.221,0.0,65600.0,210.0,0,1688564272.876,2023-07-05 15:37:52,Rest
90,1,96.499,36.194,-25.412,37.924,27.858,14.577,-762.73,-297.33,-44.026,-203.188,-55.449,55.56,-14.604,-163.11,-232.212,-113.314,1038.414,-75.164,27.608,-212.847,-297.593,10.677,-0.944,-201.211,-249.447,-2582.943,-267.061,39.675,-11.03,-68.126,-316.484,-148.546,0.0,0.0,191.0,0,1688564272.8839,2023-07-05 15:37:52,Rest
91,1,96.545,35.962,-25.239,37.408,27.229,14.575,-761.791,-297.525,-43.736,-203.051,-55.442,55.725,-14.147,-163.092,-231.674,-112.163,1036.136,-74.928,27.548,-211.969,-298.869,10.392,-0.603,-202.328,-250.387,-2582.941,-267.999,38.817,-11.143,-68.403,-316.847,-148.871,0.0,0.0,207.0,0,1688564272.8918,2023-07-05 15:37:52,Rest
92,1,96.592,35.731,-25.065,36.891,26.6,14.573,-760.852,-297.72,-43.447,-202.915,-55.436,55.89,-13.69,-163.074,-231.136,-111.011,1033.857,-74.692,27.488,-211.092,-300.145,10.106,-0.261,-203.444,-251.327,-2582.938,-268.937,37.958,-11.255,-68.68,-317.21,-149.196,0.0,0.0,209.0,0,1688564272.8996,2023-07-05 15:37:52,Rest
93,1,96.638,35.499,-24.891,36.375,25.971,14.572,-759.913,-297.914,-43.157,-202.778,-55.43,56.054,-13.233,-163.056,-230.598,-109.86,1031.578,-74.456,27.428,-210.214,-301.422,9.82,0.081,-204.56,-252.267,-2582.936,-269.876,37.1,-11.368,-68.957,-317.574,-149.521,0.0,0.0,212.0,0,1688564272.9074,2023-07-05 15:37:52,Rest
94,1,96.684,35.267,-24.718,35.858,25.341,14.57,-758.975,-298.109,-42.868,-202.642,-55.424,56.219,-12.776,-163.038,-230.06,-108.709,1029.299,-74.22,27.368,-209.336,-302.698,9.534,0.422,-205.676,-253.208,-2582.934,-270.814,36.242,-11.481,-69.234,-317.937,-149.846,0.0,0.0,198.0,0,1688564272.9152,2023-07-05 15:37:52,Rest
95,1,96.73,35.035,-24.544,35.341,24.712,14.569,-758.036,-298.304,-42.578,-202.506,-55.418,56.384,-12.319,-163.02,-229.521,-107.558,1027.021,-73.984,27.308,-208.459,-303.974,9.248,0.764,-206.792,-254.148,-2582.931,-271.752,35.383,-11.593,-69.511,-318.3,-150.171,0.0,0.0,221.0,0,1688564272.923,2023-07-05 15:37:52,Rest
96,1,96.776,34.804,-24.37,34.825,24.083,14.567,-757.097,-298.498,-42.289,-202.369,-55.412,56.548,-11.861,-163.001,-228.983,-106.407,1024.742,-73.748,27.248,-207.581,-305.251,8.962,1.106,-207.909,-255.088,-2582.929,-272.69,34.525,-11.706,-69.789,-318.664,-150.496,0.0,0.0,0.0,0,1688564272.9308,2023-07-05 15:37:52,Rest
