COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
122,0,5.112,53.427,130.045,55.661,-19.479,18.193,-5.483,-256.841,-1.632,-152.561,-31.961,47.631,-20.403,-95.94,-165.294,-91.115,-23.439,-56.103,-42.541,-58.349,-29.837,17.889,25.59,-29.677,-68.701,10.734,-69.507,-0.183,22.503,7.17,-249.686,80.418,3968.0,0.0,0.0,0,1688564518.1063,2023-07-05 15:41:58,Rest
123,0,-6.164,36.467,110.447,39.211,-36.878,5.367,-16.748,-273.49,-9.315,-167.265,-46.786,30.165,-35.752,-106.603,-184.084,-105.881,-35.711,-70.392,-56.843,-71.099,-49.275,2.501,12.757,-42.967,-82.465,-1.06,-84.807,-16.576,11.722,-7.182,-267.879,58.309,3968.0,0.0,0.0,0,1688564518.1142,2023-07-05 15:41:58,Rest
124,0,-9.232,29.259,93.943,26.364,-46.575,-0.786,-23.391,-275.778,-8.794,-170.684,-52.887,21.426,-38.278,-111.619,-184.413,-107.312,-58.217,-78.519,-67.545,-80.761,-62.545,-4.161,4.547,-45.486,-82.895,2.527,-87.283,-20.658,4.025,-10.249,-271.71,46.467,3968.0,0.0,0.0,0,1688564518.122,2023-07-05 15:41:58,Rest
125,0,-12.297,23.594,77.967,19.165,-55.75,-8.47,-32.077,-278.064,-8.272,-167.439,-56.933,19.867,-41.313,-117.655,-183.204,-102.593,-71.479,-88.174,-74.649,-90.927,-75.29,-7.743,-4.679,-50.563,-81.275,7.648,-89.758,-20.125,-6.225,-14.337,-285.27,31.052,3968.0,0.0,0.0,0,1688564518.1299,2023-07-05 15:41:58,Rest
126,0,-16.383,16.398,66.106,16.072,-65.94,-15.122,-36.144,-286.495,-7.752,-169.833,-63.023,14.212,-44.346,-119.074,-194.291,-108.639,-77.555,-98.332,-80.722,-97.496,-85.974,-15.42,-13.384,-61.271,-86.829,9.177,-94.791,-25.74,-12.366,-24.056,-300.354,12.578,3968.0,0.0,0.0,0,1688564518.1377,2023-07-05 15:41:58,Rest
127,0,-22.002,10.746,52.208,4.273,-77.657,-19.717,-38.157,-290.307,-4.158,-173.25,-66.547,6.513,-44.302,-115.881,-184.875,-93.673,-109.753,-100.283,-87.814,-94.324,-86.912,-21.04,-17.469,-61.722,-89.816,16.34,-93.672,-30.838,-17.989,-30.18,-298.005,-1.78,3968.0,65536.0,0.0,0,1688564518.1456,2023-07-05 15:41:58,Rest
0,0,-27.615,2.026,33.2,-8.539,-90.9,-27.382,-43.754,-291.554,-5.178,-170.003,-66.992,5.482,-42.208,-113.204,-164.71,-72.062,-135.771,-94.035,-85.165,-85.521,-67.358,-13.334,-20.525,-47.316,-78.455,21.959,-91.529,-27.733,-26.168,-36.298,-297.707,-22.27,0.0,0.0,221.0,0,1688564518.1535,2023-07-05 15:41:58,Rest
1,0,-29.124,-9.247,17.286,-11.092,-99.006,-36.064,-48.321,-295.873,-10.809,-166.246,-68.462,4.964,-38.067,-111.554,-176.841,-97.093,-102.847,-86.768,-72.272,-73.14,-35.527,-0.001,-27.164,-33.436,-67.619,22.45,-92.974,-26.681,-31.265,-50.094,-312.778,-46.326,0.0,65536.0,228.0,0,1688564518.1614,2023-07-05 15:41:58,Rest
2,0,-32.169,-17.434,2.411,-16.204,-108.128,-41.663,-51.859,-298.138,-10.798,-169.666,-75.566,-0.164,-36.492,-114.516,-198.181,-129.272,-69.957,-82.071,-66.052,-65.895,-21.147,5.635,-33.285,-29.817,-71.137,21.403,-98.004,-33.314,-36.869,-63.363,-324.761,-64.211,0.0,98304.0,212.0,0,1688564518.1692,2023-07-05 15:41:58,Rest
3,0,-37.26,-25.614,-11.423,-24.384,-119.291,-46.745,-57.442,-298.865,-8.738,-171.034,-82.151,-3.75,-42.604,-119.525,-195.421,-119.409,-91.916,-74.816,-65.474,-63.267,-26.761,5.117,-38.375,-33.885,-73.627,18.82,-103.542,-37.379,-44.517,-67.399,-328.022,-75.93,0.0,0.0,226.0,0,1688564518.1771,2023-07-05 15:41:58,Rest
